Created Wed Apr 20 17:20:24 2016
# hz S db R 50
! 2 Port Network Data from SP1.SP block
! freq  dbS11  angS11  dbS21  angS21  dbS12  angS12  dbS22  angS22  
!     
          10000000      0.0322940654       -0.189833986        -32.4202846        -145.396988        -32.6909711          -145.3732        0.204925556         9.94561783
          20000000      0.0757586877        -3.45282007         -25.308231         154.585276        -25.3003598         154.282236        0.260165621         5.95550256
          30000000      -0.656840427        -6.02848213        -22.3731684         95.5824935        -22.3533812         95.5238936       -0.651679421         2.75715383
          40000000      -0.621767153         -5.3520289        -22.8362304         91.7402445        -22.8343708         91.7945861       -0.614864327         3.74975386
          50000000      -0.471005325        -6.77396517        -21.0712486         97.7935071         -21.059118         97.8821748       -0.423877187         2.05436708
          60000000      -0.461949229        -9.59018357        -18.2636991          95.686407        -18.2678888         95.5736072        -0.41686192        -1.38190255
          70000000      -0.681138422        -11.2453428        -16.9220452         87.5871547        -16.9267466         87.5719805       -0.678817947        -3.42996051
          80000000      -0.786622478        -12.0366831        -16.2432741         83.9379508         -16.245397         83.9519204        -0.81068179        -4.36806607
          90000000       -0.75978727        -13.0734083        -15.4905799         83.9145221         -15.491079         83.9427441       -0.775933563        -5.57765953
         100000000      -0.730513804        -14.8705466        -14.3852857         83.7413668        -14.3877435         83.7344587       -0.733917693        -7.76650639
         110000000      -0.827793196        -16.7599599        -13.3953276         80.8002549        -13.3979287         80.7930514       -0.841600641        -10.0768774
         120000000      -0.961692735        -18.0076427        -12.7721758         77.6275556        -12.7749301         77.6189625        -1.00192923        -11.6448032
         130000000       -1.02629544        -18.9307507        -12.3054441         75.9067898        -12.3073419         75.9172657        -1.07975102        -12.7740527
